FdSt,Komplex,Ind,T_abs_m,T,T_cm,Bef,Lab,ProbenNr,P_p,P_mg-g,pH,N_p,Cges_p,Corg_p,orgSub,C-N,Fe,Mn,Ca,Mg,K,Na
ABM,06/1,/I-7,"2,05-2,25",215,,pit,Frankfurt,CM 06/1,"0,7905",,"4,03","0,10323","1,45","1,44","2,48","14,05",,,,,,
ABM,06/1,/I-10,"2,75-3,05",290,,pit,Frankfurt,CM 06/2,"3,6301",,"3,66","0,11029","0,75","0,74","1,27","6,8",,,,,,
ABM,06/2,/II-9,"1,6",160,,pit,Frankfurt,CM 06/3,"0,1875",,"3,86","0,11027","0,53","0,52","0,89","4,81",,,,,,
ABM,06/2,/II-2,"2,9",290,,bedrock,Frankfurt,CM 06/4,"0,0607",,"4,08","0,08336","0,22","0,21","0,36","2,64",,,,,,
ABM,06/2,/II-2,"2,9",290,,pit,Frankfurt,CM 06/5,"3,2647",,"3,64","0,11399","0,61","0,6","1,03","5,35",,,,,,
MIY,06/1,-5,"1,79-1,96","187,5",,pit,Frankfurt,CM 06/6,"1,0708",,"4,21","0,11185","1,36","1,35","2,32","12,16",,,,,,
MIY,06/1,/II-3,"2,36-2,80",258,,pit,Frankfurt,CM 06/7,"0,3163",,"3,73","0,04199","0,39","0,38","0,66","9,29",,,,,,
MIY,06/2,/II-7,"1,70-2,00",185,,pit,Frankfurt,CM 06/8,"0,187",,"3,84","0,07054","1,2","1,19","2,05","17,01",,,,,,
MIY,06/2,/I-15,"3,00-3,20",310,,pit,Frankfurt,CM 06/9,"0,7793",,"3,89","0,04432","0,37","0,36","0,63","8,35",,,,,,
MIY,06/3,/II-10,"2,92-3,19","305,5",,pit,Frankfurt,CM 06/10,"0,2177",,"3,7","0,05555","1,23","1,22","2,11","22,14",,,,,,
MIY,06/3,/II-10,"2,92-3,19","305,5",,bedrock,Frankfurt,CM 06/11,"0,0564",,"4,14","0,05467","0,29","0,28","0,49","5,3",,,,,,
MIY,06/3,/II-11,"3,18-3,54",336,,pit,Frankfurt,CM 06/12,"2,0048",,"3,54","0,08216","0,53","0,52","0,9","6,45",,,,,,
ABM,06/2,/II-2,"2,9",290,,pit,Frankfurt,SA 06/84,,,"3,54","0,055","0,6","0,6","1,03","10,91","4,6894","0,2003",,,,
ABM,06/2,/II-9,"1,6",160,,pit,Frankfurt,SA 06/85,,,"3,73","0,052","0,6","0,6","1,03","11,54","3,2861","0,0623",,,,
ABM,06/1,/II-3,"2,87",287,,pit,Frankfurt,SA 06/86,,,"3,51","0,048","0,28","0,28","0,48","5,83","4,571","0,0754",,,,
ABM,07/1,/II-12,2,200,,pit,Frankfurt,SA 06/87,,,"3,66","0,039","0,29","0,29","0,5","7,44","3,5329","0,0296",,,,
AKO,07/1,,,,,pit,Dschang,,,"57,75","5,67","0,46","0,88",,,"1,91",,,"6,51","1,33","0,91","0,2"
AKO,07/6,,,,,pit,Dschang,,,"58,13","5,52","0,39","0,83",,,"2,13",,,"4,86","0,8","0,91","0,42"
CAM,07/11,,,,,pit,Dschang,,,"71,67","4,67","0,31","1,48",,,"4,77",,,"5,48","1,76","0,91","0,21"
CAM,07/11,,,,,pit,Dschang,,,"16,88","4,72","0,44",1,,,"2,27",,,"2,89","0,2","0,69","0,37"
CAM,07/13,,,,,pit,Dschang,,,"70,55","4,57","0,2","0,89",,,"4,45",,,"8,4","1,44","0,81","0,18"
CAM,07/13,,,,,pit,Dschang,,,"9,37","4,47","0,24",1,,,"4,17",,,"2,08","0,24","0,26","0,14"
CAM,07/2,,,,,grave,Dschang,,,"6,94","5,07","0,34","1,47",,,"4,32",,,"7,92","0,68","0,81","0,11"
CAM,07/1,,,,,grave,Dschang,,,"2,26","4,61","0,28","1,18",,,"4,21",,,"0,4","0,16","0,31","0,17"
CAM,07/1,,,,,grave,Dschang,,,"1,3","4,69","0,29","0,88",,,"3,03",,,"1,04","0,32","0,34","0,18"
CAM,07/10,,,,,grave,Dschang,,,"3,28","4,57","0,24","0,9",,,"3,75",,,"1,52","1,6","0,35","0,15"
CAM,07/10,,,,,grave,Dschang,,,"1,53","4,78","0,32","0,74",,,"2,31",,,"0,4","0,16","0,86","0,46"
CAM,07/10,,,,,grave,Dschang,,,"2,99","4,54","0,21","0,91",,,"4,33",,,"0,32","0,24","0,94","0,5"
