ID,T_cm,P_mg.g,sample
Litter,10,"0,594",bedrock
Soil,40,"0,149",bedrock
E24,90,"0,871",pit
E23,140,"2,65",pit
E20.4,160,"2,84",pit
E20.3,190,"1,54",pit
E21,180,"1,38",pit
E20.2,170,"2,02",pit
E19,210,"3,11",pit
E20,220,"3,15",pit
E17,230,"3,66",pit
E18,240,"2,71",pit
E15,260,"7,14",pit
E14,270,"2,68",pit
E16,250,"7,72",pit
E13,240,"4,88",pit
E11,290,"5,73",pit
E8,300,"9,27",pit
E10,280,"5,89",pit
E4,320,"33,7",pit
E7,300,"3,77",pit
E3,340,"29,2",pit
E5,325,"26,9",pit
E1,340,"36,7",pit
Under the Pit,350,"0,6",bedrock
