"","ObjID","feature.x","feature.y","material","GE","n","type","weight","size"
"1",263,"07/1","07/1","Keramik",NA,1,"R",5,30
"2",264,"07/1","07/1","Keramik",NA,1,"R",151,200
"3",265,"07/1","07/1","Keramik",NA,1,"R",11,70
"4",266,"07/1","07/1","Keramik",NA,1,"R",7,30
"5",267,"07/1","07/1","Keramik",NA,1,"W",5,30
"6",268,"07/1","07/1","Keramik",NA,1,"R",5,30
"7",269,"07/1","07/1","Keramik",NA,1,"W",2,30
"8",270,"07/1","07/1","Keramik",NA,1,"R",3,30
"9",271,"07/1","07/1","Keramik",NA,1,"W",2,30
"10",272,"07/1","07/1","Keramik",NA,1,"R",40,70
"11",273,"07/1","07/1","Keramik",NA,1,"R",43,70
"12",274,"07/1","07/1","Keramik",NA,1,"R",23,70
"13",275,"07/1","07/1","Keramik",NA,1,"R",30,70
"14",276,"07/1","07/1","Keramik",NA,1,"R",20,70
"15",277,"07/1","07/1","Keramik",NA,1,"W",9,30
"16",278,"07/1","07/1","Keramik",NA,1,"W",5,30
"17",279,"07/1","07/1","Keramik",NA,1,"R",26,70
"18",280,"07/1","07/1","Keramik",NA,1,"R",12,70
"19",281,"07/1","07/1","Keramik",NA,1,"W",8,30
"20",282,"07/1","07/1","Keramik",NA,1,"W",2,30
"21",283,"07/1","07/1","Keramik",NA,1,"R",75,120
"22",284,"07/1","07/1","Keramik",NA,1,"R",47,70
"23",285,"07/1","07/1","Keramik",NA,1,"W",41,70
"24",286,"07/1","07/1","Keramik",NA,1,"R",9,30
"25",287,"07/1","07/1","Keramik",NA,1,"W",15,70
"26",288,"07/1","07/1","Keramik",NA,1,"W",30,70
"27",289,"07/1","07/1","Keramik",NA,1,"W",9,70
"28",290,"07/1","07/1","Keramik",NA,1,"W",8,70
"29",291,"07/1","07/1","Keramik",NA,1,"W",1,30
"30",292,"07/1","07/1","Keramik",NA,1,"R",5,30
"31",293,"07/1","07/1","Keramik",NA,1,"R",4,30
"32",294,"07/1","07/1","Keramik",NA,1,"R",59,120
"33",295,"07/1","07/1","Keramik",NA,1,"R",11,30
"34",296,"07/1","07/1","Keramik",NA,1,"R",17,70
"35",297,"07/1","07/1","Keramik",NA,1,"W",3,30
"36",298,"07/1","07/1","Keramik",NA,1,"W",12,70
"37",299,"07/1","07/1","Keramik",NA,1,"W",19,70
"38",300,"07/1","07/1","Keramik",NA,1,"R",17,70
"39",301,"07/1","07/1","Keramik",NA,1,"R",137,120
"40",302,"07/1","07/1","Keramik",NA,1,"R",13,70
"41",303,"07/1","07/1","Keramik",NA,1,"R",52,70
"42",304,"07/1","07/1","Keramik",NA,1,"R",38,70
"43",305,"07/1","07/1","Keramik",NA,1,"R",141,120
"44",306,"07/1","07/1","Keramik",NA,1,"R",155,200
"45",307,"07/1","07/1","Keramik",NA,1,"B",76,120
"46",308,"07/1","07/1","Keramik",NA,1,"R",41,70
"47",309,"07/1","07/1","Keramik",NA,1,"R",40,70
"48",310,"07/1","07/1","Keramik",NA,1,"R",33,70
"49",311,"07/1","07/1","Keramik",NA,1,"R",17,70
"50",312,"07/1","07/1","Keramik",NA,1,"W",5,30
"51",313,"07/1","07/1","Keramik",NA,1,"R",32,70
"52",314,"07/1","07/1","Keramik",NA,1,"W",6,30
"53",315,"07/2","07/2","Keramik",NA,1,"B",86,120
"54",316,"07/2","07/2","Keramik",NA,1,"R",109,120
"55",317,"07/2","07/2","Keramik",NA,1,"W",105,120
"56",318,"07/2","07/2","Keramik",NA,1,"W",23,70
"57",319,"07/2","07/2","Keramik",NA,1,"W",43,70
"58",320,"07/2","07/2","Keramik",NA,1,"W",27,70
"59",321,"07/2","07/2","Keramik",NA,1,"W",12,70
"60",322,"07/2","07/2","Keramik",NA,1,"W",23,70
"61",323,"07/2","07/2","Keramik",NA,1,"W",31,70
"62",324,"07/2","07/2","Keramik",NA,1,"R",12,30
"63",325,"07/2","07/2","Keramik",NA,1,"W",7,30
"64",326,"07/2","07/2","Keramik",NA,1,"W",11,30
"65",327,"07/2","07/2","Keramik",NA,1,"R",45,70
"66",328,"07/2","07/2","Keramik",NA,1,"R",23,70
"67",329,"07/2","07/2","Keramik",NA,1,"R",29,70
"68",330,"07/2","07/2","Keramik",NA,1,"W",15,70
"69",331,"07/2","07/2","Keramik",NA,1,"R",37,70
"70",332,"07/2","07/2","Keramik",NA,1,"W",37,70
"71",333,"07/2","07/2","Keramik",NA,1,"W",19,70
"72",334,"07/2","07/2","Keramik",NA,1,"R",346,200
"73",335,"07/2","07/2","Keramik",NA,1,"R",19,70
"74",336,"07/2","07/2","Keramik",NA,1,"R",31,70
"75",337,"07/2","07/2","Keramik",NA,1,"R",22,70
"76",338,"07/2","07/2","Keramik",NA,1,"W",12,70
"77",339,"07/2","07/2","Keramik",NA,1,"R",104,120
"78",340,"07/2","07/2","Keramik",NA,1,"W",65,120
"79",341,"07/2","07/2","Keramik",NA,1,"R",46,70
"80",342,"07/2","07/2","Keramik",NA,1,"W",12,70
"81",343,"07/2","07/2","Keramik",NA,1,"W",22,70
"82",344,"07/2","07/2","Keramik",NA,1,"W",9,30
"83",345,"07/2","07/2","Keramik",NA,1,"W",19,70
"84",346,"07/2","07/2","Keramik",NA,1,"W",5,30
"85",347,"07/2","07/2","Keramik",NA,1,"W",5,30
"86",348,"07/2","07/2","Keramik",NA,1,"W",43,70
"87",349,"07/3","07/3","Keramik","3-1",39,"G",644,200
"88",350,"07/3","07/3","Keramik","3-3",14,"G",634,500
"89",351,"07/3","07/3","Keramik","3-4",16,"G",738,500
"90",353,"07/3","07/3","Keramik","3-9",37,"G",884,500
"91",355,"07/3","07/3","Keramik","3-5",28,"G",991,200
"92",356,"07/3","07/3","Keramik","3-6",44,"G",833,500
"93",358,"07/3","07/3","Keramik","3-7",29,"G",549,500
"94",360,"07/3","07/3","Keramik","3-11",73,"G",572,120
"95",362,"07/3","07/3","Keramik","3-2",27,"G",398,200
"96",363,"07/3","07/3","Keramik","3-13",32,"G",972,500
"97",365,"07/3","07/3","Keramik","3-12",1,"G",677,200
"98",430,"07/3","07/3","Keramik","3-10",1,"G",958,500
"99",452,"07/4","07/4","Keramik","4-1",26,"G",649,500
"100",454,"07/5","07/5","Keramik","5-1",15,"R",109,120
"101",455,"07/5","07/5","Keramik","5-2",16,"R",50,120
"102",462,"07/5","07/5","Keramik","5-3",28,"G",460,200
"103",476,"07/6","07/6","Keramik","6-5",43,"B",644,200
"104",477,"07/6","07/6","Keramik","6-2",39,"R",299,200
"105",478,"07/6","07/6","Keramik","6-3",88,"R",323,120
"106",487,"07/6","07/6","Keramik","6-1",37,"G",790,500
"107",523,"07/7","07/7","Keramik","7-20",44,"G",1336,200
"108",524,"07/7","07/7","Keramik","7-1",3,"G",924,500
"109",525,"07/7","07/7","Keramik","7-21",26,"W",137,70
"110",530,"07/7","07/7","Keramik","7-2",3,"G",805,500
"111",544,"07/7","07/7","Keramik","7-3",12,"G",2356,500
"112",545,"07/7","07/7","Keramik","7-4",53,"G",988,500
"113",552,"07/7","07/7","Keramik","7-11",7,"R",215,120
"114",553,"07/7","07/7","Keramik","7-16",7,"G",319,120
"115",555,"07/7","07/7","Keramik","7-19",2,"R",68,120
"116",557,"07/7","07/7","Keramik","7-17",17,"R",172,70
"117",570,"07/7","07/7","Keramik","7-6",24,"G",905,500
"118",571,"07/7","07/7","Keramik","7-15",26,"G",755,500
"119",572,"07/7","07/7","Keramik","7-13",62,"G",1041,500
"120",573,"07/7","07/7","Keramik","7-5",7,"G",1057,500
"121",578,"07/7","07/7","Keramik","7-14",1,"G",848,500
"122",583,"07/7","07/7","Keramik","7-23",7,"R",100,70
"123",586,"07/7","07/7","Keramik","7-22",1,"W",34,70
"124",596,"07/7","07/7","Keramik","7-7",1,"G",1202,500
"125",600,"07/7","07/7","Keramik","7-8",1,"G",2123,500
"126",601,"07/7","07/7","Keramik","7-9",14,"G",1196,500
"127",606,"07/7","07/7","Keramik","7-10",8,"G",1320,500
"128",611,"07/7","07/7","Keramik","7-12",27,"G",1901,500
"129",636,"07/9","07/9","Keramik","9-3",9,"G",551,200
