Verz,1,1a,1b,1c,2,2a,2b,2c,2d,3a,3b,3c,5
1 a,6,87,8,6,6,2,7,4,1,0,1,0,0
1 b,0,11,1,0,0,0,0,0,0,0,0,0,0
1 c,0,1,0,0,0,0,0,0,0,0,0,0,0
1 d,0,0,0,1,0,0,0,0,0,0,0,0,0
1 e,0,0,0,1,2,0,0,0,0,0,0,0,0
10 a,5,2,0,0,2,0,0,0,0,0,0,0,0
10 b,0,4,0,0,0,0,0,0,0,0,0,0,0
11 a,0,1,0,0,1,0,0,1,0,0,0,0,0
11 b,0,4,0,0,0,0,0,0,0,0,0,0,0
11 c,0,0,1,0,0,0,0,0,0,0,0,0,0
11 f,0,0,0,4,0,0,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,2,0,0,0,0,0,0,0,0
16,0,23,4,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,9,0,0,0
2,0,46,4,0,1,0,2,2,1,0,0,0,1
3,0,3,1,0,0,0,0,0,0,0,0,0,0
4,10,12,0,1,1,0,0,0,3,0,0,0,0
5 a,0,25,1,1,0,0,0,0,1,0,0,0,0
5 b,0,2,0,0,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0,0,0,0,0
7 a,0,4,0,1,0,0,4,0,0,0,0,0,0
7 b,0,1,0,1,0,0,0,0,0,0,0,0,0
8 a,1,1,0,4,0,0,1,0,0,0,0,0,0
8 b,0,17,2,0,0,0,1,0,0,0,1,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0,0
