"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"1",267,"07/1","/II-1:100",NA,"C1",NA,"0 unbekannt","11 c","horizontale Reihen aus Einstichen","02_Burials_Center"
"2",271,"07/1","/II-1:191",NA,"C1",NA,"0 unbekannt","11 c","Reihe von Einstichen","02_Burials_Center"
"3",273,"07/1","/II-1:62",NA,"C1","1","3 Oberteil","12","horizontale Reihen aus quardatischen knubben mit einstichen","02_Burials_Center"
"4",275,"07/1","/II-1:82",NA,"C1","1","3 Oberteil","12","horizontale Reihen aus quardatischen knubben mit einstichen","02_Burials_Center"
"5",276,"07/1","/II-1:83",NA,"C1","1","2 Rand","4","diagonale Pkt-Reihe/Kammeindrücke","02_Burials_Center"
"6",276,"07/1","/II-1:83",NA,"C1","1","3 Oberteil","12","horizontale Reihen aus quardatischen knubben mit einstichen","02_Burials_Center"
"7",277,"07/1","/II-1:87",NA,"C1",NA,"0 unbekannt","12","horizontale Reihen aus quardatischen knubben mit einstichen","02_Burials_Center"
"8",278,"07/1","/II-1:88",NA,"C1",NA,"0 unbekannt","11 b","horizontale Reihen aus Einstichen","02_Burials_Center"
"9",281,"07/1","/II-1:98",NA,"C1",NA,"0 unbekannt","11 b","horizontale Reihen aus Einstichen","02_Burials_Center"
"10",282,"07/1","/II-1.172",NA,"C1",NA,"0 unbekannt","11 f","reihe doppelter Einstiche","02_Burials_Center"
"11",288,"07/1","/II-3:1",NA,"C1",NA,"7 Unterteil","14","","02_Burials_Center"
"12",291,"07/1","/II-3:3",NA,"C1",NA,"0 unbekannt","13","","02_Burials_Center"
"13",299,"07/1","/II-4:21",NA,"C1",NA,"6 Bauch","1 a","","02_Burials_Center"
"14",299,"07/1","/II-4:21",NA,"C1",NA,"6 Bauch","1 e","horizontale Rillen mit zick-zack Kammeinstich darin, darüber diagone Rillen (Wiegeband?)","02_Burials_Center"
"15",299,"07/1","/II-4:21",NA,"C1",NA,"6 Bauch","10 b","","02_Burials_Center"
"16",300,"07/1","/II-4:22",NA,"C1","1c","6 Bauch","1 e","diagonale Rillen (Wiegeband?) unterm 2 Rand","02_Burials_Center"
"17",300,"07/1","/II-4:22",NA,"C1","1c","2 Rand","11 f","Punktmuster (evtl. kreuzförmig) am 2 Rand","02_Burials_Center"
"18",306,"07/1","/II-4:36-37",NA,"C1","1c","6 Bauch","1 a","","02_Burials_Center"
"19",306,"07/1","/II-4:36-37",NA,"C1","1c","2 Rand","1 a","","02_Burials_Center"
"20",306,"07/1","/II-4:36-37",NA,"C1","1c","2 Rand","11 f","doppelte Punktreihe/Einstiche unterm 2 Rand/darunter Rillen","02_Burials_Center"
"21",306,"07/1","/II-4:36-37",NA,"C1","1c","7 Unterteil","5 a","diagonale Rillen evtl. Reste des Wiegebands","02_Burials_Center"
"22",306,"07/1","/II-4:36-37",NA,"C1","1c","6 Bauch","7 b","unterm 2 Rand Rillen, darüber diagonales Wiegeband?, mittig darüber drei horizontale Rillen mit zick-zack Kammeinstich darin","02_Burials_Center"
